"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"scrn09a",542,1460,0.0931506849315069,0.290743070663201,0,0,0,0,1,1,2.79676932782372,5.82591042973715,0.00760909392562281
"scrn09b",543,1460,0.0958904109589041,0.29454178172686,0,0,0,0,1,1,2.74210877169088,5.52294476173417,0.00770851073790917
"scrn09c",544,1460,0.0917808219178082,0.28881522758338,0,0,0,0,1,1,2.82491736546441,5.98425833585393,0.0075586399662739
"scrn09d",545,1460,0.13013698630137,0.336569367905686,0,0.0376712328767123,0,0,1,1,2.19633584106146,2.82582803245571,0.00880842293864515
"scrn09e",546,1460,0.0404109589041096,0.196988557341661,0,0,0,0,1,1,4.66295362816295,19.7566699111628,0.00515542616945796
"scrn09f",547,1460,0.0821917808219178,0.27475078906921,0,0,0,0,1,1,3.03927825342676,7.2421741020456,0.00719055678746811
"scrn09g",548,1460,0.150684931506849,0.357864080121664,0,0.0633561643835616,0,0,1,1,1.9508848805292,1.80719102622237,0.009365731028571
"scrn09h",549,1460,0.0116438356164384,0.107313300567854,0,0,0,0,1,1,9.09526910974906,80.7792498391422,0.00280851743646645
"scrn09i",550,1460,0.0136986301369863,0.116276558714195,0,0,0,0,1,1,8.35883504133401,67.9166429038698,0.00304309662337375
"scrn09j",551,1460,0.0383561643835616,0.192120405034224,0,0,0,0,1,1,4.80248457862975,21.0782967245861,0.00502802080063172
"scrn09k",552,1460,0.554794520547945,0.497158780353831,1,0.568493150684932,0,0,1,1,-0.220279686161625,-1.95281299594026,0.0130112399481484
"scrn10",553,1460,0.158219178082192,0.36507143888851,0,0.0727739726027397,0,0,1,1,1.87112268494247,1.50213036559329,0.00955435622843388
"scrn11",554,1457,0.0123541523678792,0.110498450020761,0,0,0,0,1,1,8.82023514017813,75.8486074105074,0.00289485230021772
"scrn03",555,1460,-11.3171232876712,9.72183977199284,-9,-10.0094178082192,5.9304,-93,6,99,-2.47445875583123,10.7271811971621,0.254432175412502
"sf01",556,1441,3.0381679389313,1.06682966311884,3,3.08933217692975,1.4826,1,5,4,-0.26104796350223,-0.509655263788882,0.0281036735642738
"sf02",557,1440,2.62083333333333,0.660077174505367,3,2.77604166666667,0,1,3,2,-1.49302103082106,0.854280315019226,0.0173945608577115
"sf03",558,1442,2.53952843273232,0.70205748944312,3,2.67417677642981,0,1,3,2,-1.19857247039766,0.0202297418468675,0.0184880048544279
"sf04",559,1441,0.369188063844552,0.482752488654252,0,0.336513443191674,0,0,1,1,0.541565960387713,-1.70789007784416,0.0127172301469541
"sf05",560,1441,0.352532963219986,0.47792466186588,0,0.315698178664354,0,0,1,1,0.616685900272791,-1.62082184560919,0.0125900498924339
"sf06",561,1442,0.545769764216366,0.498073453973301,1,0.557192374350087,0,0,1,1,-0.183659752901935,-1.96763216881581,0.0131162826027598
"sf07",562,1440,0.476388888888889,0.499615712101979,0,0.470486111111111,0,0,1,1,0.0944514511239264,-1.99246113051908,0.0131660300420767
"sf08",563,1441,1.86398334489938,1.18184787503401,1,1.66782307025152,0,1,5,4,1.12426868794804,-0.0144743942511467,0.0311336177000232
"sf09",564,1441,3.36224843858432,1.39266588755039,4,3.36253252385082,1.4826,1,6,5,0.00265223353453334,-0.950201209454832,0.0366872321241932
